,,NO MOVE,NORTH,EAST,SOUTH,WEST
3,7,-0.2652282040983984,-0.2603681048743477,-0.271,0.3774030469366237,-0.26453429413013374
3,8,-0.1,0.0,-0.2,-0.1,-0.01720319408627505
3,9,-0.2,0.0,-0.1,-0.1,-0.1
3,10,-0.1,0.0,0.0,0.0,-0.2
3,11,-0.1,-0.1,0.01854659084315964,0.0,-0.29000000000000004
3,12,0.0,0.0,0.13201492637450649,0.0,0.0
3,13,0.0,0.0,0.0,0.3128423564921022,0.010985709867052993
4,1,0.1199146662817821,0.2599654413782564,0.0,1.7868168919115117,0.0
4,2,0.0,0.0,0.0,0.0,0.0
4,3,-0.1,-0.09797216563575621,-0.0729,0.0,0.0
4,4,-0.1,-0.1,-0.005162617035371592,0.0,0.0
4,5,-0.08923640702355304,-0.1,0.06911237446228745,-0.15654367775657618,-0.19
4,6,-0.029531446356126104,-0.04471650155630419,0.39905742905877906,-0.11113246155057299,-0.07557254599719414
4,7,0.6713181924042998,-0.14683056306509226,-0.15583441421330713,3.3831722027435838,-0.07182986925025517
4,8,-0.07374146783310097,-0.1,-0.17099999999999999,-0.005850029480870112,0.07378224727546046
4,9,-0.1,-0.2,-0.08340203723883693,0.0,0.0
4,10,0.0,-0.19,0.1662094032681632,0.0,-0.09
4,11,-0.08974469371496402,-0.09,0.0,0.0028464339130856806,-0.05884298242675565
4,12,0.0,0.0,0.0,0.0,0.0
4,13,0.0,0.0,0.0,1.4603395837407085,0.0
5,1,1.0582388824304856,0.1888091311053527,0.15361761901679802,1.5003191971251744,0.0
5,2,0.0,0.0,0.0,0.0,0.7902348224490193
5,3,0.0,0.0,0.0,0.0,0.0
5,4,0.0,0.0,0.0,0.0,0.0
5,5,-0.17676917822169827,0.10176166746940823,0.0,-0.058185249923665555,0.0
5,6,-0.1537799054365952,-0.1,-0.15591642675719142,-0.15420609359962678,-0.07635442259276151
5,7,0.3816609924929495,0.21726810970107988,0.1212731683637555,3.864770925910649,-0.09859424928814098
5,8,-0.33765174801899134,-0.2387078706899584,-0.18498945517343093,-0.12409604169898764,0.28678575872527656
5,9,-0.1,-0.29000000000000004,0.0,-0.09192527513783835,-0.14479905618025177
5,10,0.0,0.0,0.0,0.0,0.0
5,11,0.0,-0.07137732871096646,0.07912313372633512,0.0,0.0
5,12,0.0405571730286003,0.0,1.5434232111220954,0.0,0.0
5,13,0.0,0.11869052438334016,0.0,5.406732747338055,0.3065461243990274
6,1,1.498378690389351,1.5029541200695669,0.0,1.5048073245226425,0.0
6,2,0.0,0.0,0.0,0.0,0.0
6,3,0.0,0.0,0.0,0.0,0.0
6,4,0.0,0.0,0.0,0.16276395549037476,0.0
6,5,-0.16528904925086702,0.0,0.38136511792966854,0.0,0.0
6,6,1.5735731469148344,-0.12815719885299715,0.7754056692193463,5.152328660696333,-0.1134675395750444
6,7,-0.001640446869157819,0.7151613116827136,-0.1406070442055024,0.0,4.415794432168798
6,8,-0.3572231498707233,-0.5036831705662109,-0.32992545869490264,0.0,0.7503955717654361
6,9,-0.2563814747959387,-0.18927327476240546,-0.1,0.0,-0.11692695694718822
6,10,-0.1,0.0,-0.1,0.0,-0.29000000000000004
6,11,0.0,-0.05824916930414415,0.0,0.0,-0.2121931
6,12,0.0,0.0,0.0,0.0,0.0
6,13,4.4949426681169555,4.535823632397631,0.0,4.970111552553416,0.0
7,1,1.5038541861699535,1.4993208409831933,1.077331759967272,0.0,0.0
7,2,1.1521447722057494,0.0,0.0,1.1450574994393095,1.430830351911689
7,3,0.0,0.0,0.0,0.0,0.0
7,4,0.01632563273688708,0.0,0.0,1.8028709938972518,0.0
7,5,0.0,0.0,0.0,0.0,0.0
7,6,1.4571990644888186,1.9247785372834345,0.0,5.791963854511447,0.0
7,7,0.0,0.0,0.0,0.0,0.0
7,8,0.0,0.0,0.0,0.0,0.0
7,9,0.0,0.0,0.0,0.0,0.0
7,10,0.0,0.0,0.0,0.9524237911362622,0.0
7,11,0.0,0.0,0.0,0.0,0.0
7,12,4.767345079658952,0.0,4.78139723866345,5.057924246039938,0.0
7,13,5.476692803335417,4.640220019930793,0.0,0.0,4.600454025312664
8,1,0.0,0.0,0.0,0.0,0.0
8,2,1.0285843011594775,1.0743520870221706,0.854860988436493,0.0,0.0
8,3,1.1097573450055864,0.0,1.0179154761260514,0.0,1.093085351749828
8,4,0.7117011679730495,0.7322524402447369,0.7337515194446201,0.0,1.0331126243568645
8,5,0.267512712976709,0.0,0.698875265536705,0.0,0.7056831055047925
8,6,1.9998718143144352,1.0171435670547755,6.2846568642287854,0.0,0.04816740847785822
8,7,2.85876122834778,0.0,6.2617238946823,0.0,2.371121867642241
8,8,2.126810099190803,0.0,5.929896653543694,0.0,0.6546582613665068
8,9,3.094283126905265,0.0,5.496311279465365,0.0,3.0349035262325654
8,10,2.487602212092707,0.0519471653783562,5.060319639946259,0.0,1.3844993021457268
8,11,4.589077999326577,0.0,5.280052978691944,0.0,4.564435194886546
8,12,4.832587570658349,4.672978875215598,0.0,0.0,5.1448400073559375
8,13,0.0,0.0,0.0,0.0,0.0
